,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,year
352,George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",2010-02-19,2010
353,The La Coste National Bank,La Coste,TX,3287,Community National Bank,2010-02-19,2010
354,Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,2010-02-19,2010
355,1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",2010-02-05,2010
356,American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,2010-01-29,2010
357,First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,2010-01-29,2010
358,Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,2010-01-29,2010
359,"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,2010-01-29,2010
360,Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",2010-01-29,2010
361,First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,2010-01-29,2010
362,Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,2010-01-22,2010
363,Evergreen Bank,Seattle,WA,20501,Umpqua Bank,2010-01-22,2010
364,Charter Bank,Santa Fe,NM,32498,Charter Bank,2010-01-22,2010
365,Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",2010-01-22,2010
366,Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",2010-01-22,2010
367,Barnes Banking Company,Kaysville,UT,1252,No Acquirer,2010-01-15,2010
368,St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,2010-01-15,2010
369,Town Community Bank & Trust,Antioch,IL,34705,First American Bank,2010-01-15,2010
370,Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,2010-01-08,2010
371,"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",2009-12-18,2009
372,Imperial Capital Bank,La Jolla,CA,26348,City National Bank,2009-12-18,2009
373,Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),2009-12-18,2009
374,New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,2009-12-18,2009
375,Citizens State Bank,New Baltimore,MI,1006,No Acquirer,2009-12-18,2009
376,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,2009-12-18,2009
377,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,2009-12-18,2009
378,SolutionsBank,Overland Park,KS,4731,Arvest Bank,2009-12-11,2009
379,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,2009-12-11,2009
380,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,2009-12-11,2009
381,Greater Atlantic Bank,Reston,VA,32583,Sonabank,2009-12-04,2009
382,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",2009-12-04,2009
383,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,2009-12-04,2009
384,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,2009-12-04,2009
385,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,2009-12-04,2009
386,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,2009-12-04,2009
387,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,2009-11-20,2009
388,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,2009-11-13,2009
389,Orion Bank,Naples,FL,22427,IBERIABANK,2009-11-13,2009
390,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,2009-11-13,2009
391,United Commercial Bank,San Francisco,CA,32469,East West Bank,2009-11-06,2009
392,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,2009-11-06,2009
393,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",2009-11-06,2009
394,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,2009-11-06,2009
395,United Security Bank,Sparta,GA,22286,Ameris Bank,2009-11-06,2009
396,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,2009-10-30,2009
397,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,2009-10-30,2009
398,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,2009-10-30,2009
399,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,2009-10-30,2009
400,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,2009-10-30,2009
401,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,2009-10-30,2009
402,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,2009-10-30,2009
403,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,2009-10-30,2009
404,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,2009-10-30,2009
405,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,2009-10-23,2009
406,Riverview Community Bank,Otsego,MN,57525,Central Bank,2009-10-23,2009
407,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,2009-10-23,2009
408,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,2009-10-23,2009
409,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,2009-10-23,2009
410,American United Bank,Lawrenceville,GA,57794,Ameris Bank,2009-10-23,2009
411,Partners Bank,Naples,FL,57959,Stonegate Bank,2009-10-23,2009
412,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,2009-10-16,2009
413,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2009-10-02,2009
414,Jennings State Bank,Spring Grove,MN,11416,Central Bank,2009-10-02,2009
415,Warren Bank,Warren,MI,34824,The Huntington National Bank,2009-10-02,2009
416,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",2009-09-25,2009
417,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",2009-09-18,2009
418,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",2009-09-18,2009
419,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,2009-09-11,2009
420,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,2009-09-11,2009
421,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",2009-09-11,2009
422,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,2009-09-04,2009
423,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,2009-09-04,2009
424,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,2009-09-04,2009
425,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",2009-09-04,2009
426,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,2009-09-04,2009
427,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,2009-08-28,2009
428,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,2009-08-28,2009
429,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),2009-08-28,2009
430,Guaranty Bank,Austin,TX,32618,BBVA Compass,2009-08-21,2009
431,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,2009-08-21,2009
432,First Coweta Bank,Newnan,GA,57702,United Bank,2009-08-21,2009
433,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",2009-08-21,2009
434,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,2009-08-14,2009
435,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,2009-08-14,2009
436,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,2009-08-14,2009
437,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",2009-08-14,2009
438,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",2009-08-14,2009
439,Community First Bank,Prineville,OR,23268,Home Federal Bank,2009-08-07,2009
440,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",2009-08-07,2009
441,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",2009-08-07,2009
442,Mutual Bank,Harvey,IL,18659,United Central Bank,2009-07-31,2009
443,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,2009-07-31,2009
444,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",2009-07-31,2009
445,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,2009-07-31,2009
